fecha,indicativo,nombre,provincia,altitud,prec,dir,velmedia,racha,horaracha,tmed,tmin,horatmin,tmax,horatmax
2017-04-28,0201D,BARCELONA,BARCELONA,6,"0,0",19.0,"3,3","7,8",12:40,,,,,
2017-04-29,0201D,BARCELONA,BARCELONA,6,"0,2",22.0,"4,7","12,5",15:00,,,,,
2017-04-30,0201D,BARCELONA,BARCELONA,6,"0,4",22.0,"5,6","13,3",09:20,,,,,
2017-05-01,0201D,BARCELONA,BARCELONA,6,"0,0",12.0,"2,8","11,7",01:10,,,,,
2017-05-02,0201D,BARCELONA,BARCELONA,6,"0,0",22.0,"3,3","12,2",14:00,,,,,
2017-05-03,0201D,BARCELONA,BARCELONA,6,"0,5",8.0,"3,1","6,1",00:10,,,,,
2017-05-04,0201D,BARCELONA,BARCELONA,6,"0,0",19.0,"3,6","8,3",13:00,,,,,
2017-05-05,0201D,BARCELONA,BARCELONA,6,"0,0",8.0,"7,8","12,2",15:20,,,,,
2017-05-06,0201D,BARCELONA,BARCELONA,6,"0,0",30.0,"5,0","13,9",08:20,,,,,
2017-05-07,0201D,BARCELONA,BARCELONA,6,"0,0",11.0,"2,8","12,5",12:00,,,,,
2017-05-08,0201D,BARCELONA,BARCELONA,6,"0,0",19.0,"2,5","6,1",12:20,,,,,
2017-05-09,0201D,BARCELONA,BARCELONA,6,"0,1",14.0,"3,3","6,4",13:50,,,,,
2017-05-10,0201D,BARCELONA,BARCELONA,6,"0,3",7.0,"4,4","9,4",23:59,,,,,
2017-05-11,0201D,BARCELONA,BARCELONA,6,"8,7",24.0,"5,0","10,8",13:40,,,,,
2017-05-12,0201D,BARCELONA,BARCELONA,6,"0,0",25.0,"5,3","14,7",15:40,,,,,
2017-05-13,0201D,BARCELONA,BARCELONA,6,"0,0",22.0,"4,2","13,1",14:50,,,,,
2017-05-14,0201D,BARCELONA,BARCELONA,6,"0,0",8.0,"1,7","5,0",07:30,,,,,
2017-05-15,0201D,BARCELONA,BARCELONA,6,"0,0",21.0,"1,4","5,3",16:00,,,,,
2017-05-16,0201D,BARCELONA,BARCELONA,6,"0,0",11.0,"1,9","6,7",12:40,,,,,
2017-05-17,0201D,BARCELONA,BARCELONA,6,"0,0",13.0,"1,9","5,0",12:00,,,,,
2017-05-18,0201D,BARCELONA,BARCELONA,6,"0,1",28.0,"3,3","8,9",21:50,,,,,
2017-05-19,0201D,BARCELONA,BARCELONA,6,"0,0",8.0,"4,7","14,2",23:10,,,,,
2017-05-20,0201D,BARCELONA,BARCELONA,6,"0,0",99.0,"3,9","10,3",00:10,,,,,
2017-05-21,0201D,BARCELONA,BARCELONA,6,"0,0",24.0,"4,2","11,4",17:10,,,,,
2017-05-22,0201D,BARCELONA,BARCELONA,6,"0,0",19.0,"3,3","8,6",11:50,,,,,
2017-05-23,0201D,BARCELONA,BARCELONA,6,"0,0",20.0,"4,2","7,8",17:30,,,,,
2017-05-24,0201D,BARCELONA,BARCELONA,6,"0,0",20.0,"3,9","9,7",16:10,,,,,
2017-05-25,0201D,BARCELONA,BARCELONA,6,"0,0",20.0,"3,9","10,0",14:00,,,,,
2017-05-26,0201D,BARCELONA,BARCELONA,6,"0,0",8.0,"4,7","7,8",22:10,,,,,
2017-05-27,0201D,BARCELONA,BARCELONA,6,"0,0",8.0,"3,1","8,1",00:20,,,,,
2017-05-28,0201D,BARCELONA,BARCELONA,6,"0,0",10.0,"2,5","5,0",10:00,,,,,
2017-05-29,0201D,BARCELONA,BARCELONA,6,"2,0",8.0,"1,7","5,0",23:20,,,,,
2017-05-30,0201D,BARCELONA,BARCELONA,6,"0,6",33.0,"3,1","7,8",09:40,,,,,
2017-05-31,0201D,BARCELONA,BARCELONA,6,"0,0",12.0,"2,2","5,6",14:20,,,,,
2017-06-01,0201D,BARCELONA,BARCELONA,6,"0,0",17.0,"2,8","5,6",12:10,,,,,
2017-06-02,0201D,BARCELONA,BARCELONA,6,"0,0",25.0,"3,3","7,5",20:50,,,,,
2017-06-03,0201D,BARCELONA,BARCELONA,6,"0,0",7.0,"3,3","11,9",21:00,,,,,
2017-06-04,0201D,BARCELONA,BARCELONA,6,"2,1",7.0,"3,6","10,8",23:50,,,,,
2017-06-05,0201D,BARCELONA,BARCELONA,6,"0,0",22.0,"3,6","12,2",17:40,,,,,
2017-06-06,0201D,BARCELONA,BARCELONA,6,"0,0",10.0,"4,2","11,7",15:20,,,,,
2017-06-07,0201D,BARCELONA,BARCELONA,6,"0,0",19.0,"4,4","7,2",17:10,,,,,
2017-06-08,0201D,BARCELONA,BARCELONA,6,"0,2",20.0,"5,0","10,3",Varias,,,,,
2017-06-09,0201D,BARCELONA,BARCELONA,6,"0,6",8.0,"2,5","7,2",05:30,,,,,
2017-06-10,0201D,BARCELONA,BARCELONA,6,"0,0",20.0,"3,6","8,3",13:10,,,,,
2017-06-11,0201D,BARCELONA,BARCELONA,6,"0,0",20.0,"3,1","7,5",13:00,,,,,
2017-06-12,0201D,BARCELONA,BARCELONA,6,"0,0",6.0,"2,5","5,8",08:40,,,,,
2017-06-13,0201D,BARCELONA,BARCELONA,6,"0,0",20.0,"3,6","8,1",14:00,,,,,
2017-06-14,0201D,BARCELONA,BARCELONA,6,"0,2",20.0,"4,2","8,9",14:30,"25,0","22,0",04:40,"28,0",14:20
2017-06-15,0201D,BARCELONA,BARCELONA,6,"0,0",20.0,"2,8","6,9",14:00,"24,8","22,5",00:50,"27,2",15:30
2017-06-16,0201D,BARCELONA,BARCELONA,6,"0,0",24.0,"4,4","9,2",16:40,"26,3","23,3",03:20,"29,3",17:00
2017-06-17,0201D,BARCELONA,BARCELONA,6,"0,0",7.0,"3,1","5,6",06:10,"26,2","24,3",05:10,"28,0",11:30
2017-06-18,0201D,BARCELONA,BARCELONA,6,"0,0",20.0,"4,2","6,9",13:50,"25,2","22,6",23:59,"27,8",11:50
2017-06-19,0201D,BARCELONA,BARCELONA,6,"0,0",99.0,"4,2","5,8",12:50,"24,7","22,1",04:30,"27,3",14:00
2017-06-20,0201D,BARCELONA,BARCELONA,6,"0,0",20.0,"5,6","11,4",12:40,"25,6","23,8",04:50,"27,4",17:50
2017-06-21,0201D,BARCELONA,BARCELONA,6,"0,0",20.0,"3,3","10,3",11:40,"26,2","23,4",04:40,"29,1",13:00
2017-06-22,0201D,BARCELONA,BARCELONA,6,"0,0",22.0,"5,0","11,9",15:40,"26,0","23,3",04:10,"28,6",14:50
2017-06-23,0201D,BARCELONA,BARCELONA,6,"0,0",22.0,"5,6","13,3",17:00,"26,4","24,5",11:50,"28,4",08:00
2017-06-24,0201D,BARCELONA,BARCELONA,6,"0,6",99.0,"5,0","10,8",15:40,"25,1","22,8",04:50,"27,4",11:00
2017-06-25,0201D,BARCELONA,BARCELONA,6,"1,0",7.0,"2,2","7,8",01:50,"24,6","21,2",02:20,"27,9",12:20
2017-06-26,0201D,BARCELONA,BARCELONA,6,"0,0",22.0,"2,2","7,5",06:30,"25,5","22,4",02:50,"28,6",14:20
2017-06-27,0201D,BARCELONA,BARCELONA,6,"0,0",5.0,"2,5","6,4",01:00,"25,0","22,6",04:30,"27,3",09:50
2017-06-28,0201D,BARCELONA,BARCELONA,6,"0,3",26.0,"3,6","18,3",17:40,"25,4","20,2",23:59,"30,5",13:30
2017-06-29,0201D,BARCELONA,BARCELONA,6,"4,9",21.0,"4,2","14,7",13:50,"23,2","19,5",04:00,"27,0",Varias
2017-06-30,0201D,BARCELONA,BARCELONA,6,"0,0",19.0,"5,3","12,5",13:00,"22,0","16,6",04:40,"27,3",16:00
2017-07-01,0201D,BARCELONA,BARCELONA,6,"0,0",28.0,"4,2","7,8",06:40,"20,8","17,9",06:00,"23,6",14:50
2017-07-02,0201D,BARCELONA,BARCELONA,6,"0,0",32.0,"4,7","8,6",06:40,"21,2","18,2",04:50,"24,2",16:20
2017-07-03,0201D,BARCELONA,BARCELONA,6,"0,0",20.0,"4,2","9,7",Varias,"22,8","19,6",04:40,"26,0",17:00
2017-07-04,0201D,BARCELONA,BARCELONA,6,"0,0",20.0,"4,2","8,1",13:10,"23,0","20,4",04:30,"25,7",08:10
2017-07-05,0201D,BARCELONA,BARCELONA,6,"0,0",12.0,"3,1","7,2",20:30,"23,8","20,4",04:40,"27,1",15:40
2017-07-06,0201D,BARCELONA,BARCELONA,6,"0,0",13.0,"3,3","6,4",14:10,"23,9","21,1",03:30,"26,7",09:00
2017-07-07,0201D,BARCELONA,BARCELONA,6,"0,0",13.0,"3,9","8,1",11:50,"24,4","22,3",04:30,"26,5",07:30
2017-07-08,0201D,BARCELONA,BARCELONA,6,"0,0",10.0,"7,5","13,6",17:50,"25,4","23,4",23:59,"27,3",08:40
2017-07-09,0201D,BARCELONA,BARCELONA,6,"0,0",8.0,"4,4","8,9",18:40,"25,8","23,0",03:00,"28,6",09:20
2017-07-10,0201D,BARCELONA,BARCELONA,6,"0,0",99.0,"2,2","5,6",09:40,"25,2","22,5",04:50,"27,8",13:10
2017-07-11,0201D,BARCELONA,BARCELONA,6,"0,0",8.0,"3,1","8,3",01:40,"25,4","23,3",04:00,"27,5",13:50
2017-07-12,0201D,BARCELONA,BARCELONA,6,"0,0",18.0,"4,2","11,9",07:50,"25,7","23,4",04:40,"28,0",15:30
2017-07-13,0201D,BARCELONA,BARCELONA,6,"0,0",20.0,"5,0","11,9",12:10,"25,6","24,1",03:00,"27,1",09:00
2017-07-14,0201D,BARCELONA,BARCELONA,6,"0,0",99.0,"4,2","7,8",Varias,"25,0","24,2",11:00,"25,8",09:10
2017-07-15,0201D,BARCELONA,BARCELONA,6,"0,0",19.0,"3,6","8,3",16:40,"25,6","23,2",04:00,"28,1",13:30
2017-07-16,0201D,BARCELONA,BARCELONA,6,"0,0",14.0,"3,6","7,8",11:00,"26,1","24,3",04:30,"27,9",14:40
